city,house type,house_area,garden_area,rooms,balconies,air_condition,parking,protected_room,elevator,renovated,furniture,accessibility,bars,storage,price,rent price,cap rate
haifa,apartment,86.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1500000.0,4130,3.304
jerusalem,garden apartment,185.0,80.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2670000.0,10040,4.512
beer sheva,apartment,80.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,720000.0,2631,4.385
ashkelon,apartment,85.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1450000.0,3756,3.108
haifa,apartment,50.0,0.0,2.5,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1000000.0,2352,2.822
ashkelon,private house,170.0,220.0,5.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2650000.0,8801,3.985
ashkelon,penthouse,160.0,0.0,5.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1880000.0,5906,3.770
ashkelon,apartment,115.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1850000.0,4350,2.822
ashkelon,apartment,95.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1330000.0,3851,3.475
ashkelon,apartment,90.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1230000.0,3969,3.872
haifa,apartment,37.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1320000.0,3256,2.960
haifa,apartment,65.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1000000.0,2884,3.461
beer sheva,apartment,187.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1950000.0,5370,3.305
jerusalem,garden apartment,170.0,50.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2800000.0,10966,4.700
beer sheva,duplex,234.0,0.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2800000.0,5675,2.432
petah tikva,apartment,60.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1660000.0,3694,2.670
beer sheva,apartment,53.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,920000.0,2138,2.789
petah tikva,apartment,71.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2360000.0,5541,2.817
petah tikva,apartment,74.0,0.0,3.5,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2050000.0,4403,2.577
natanya,apartment,128.0,0.0,4.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3950000.0,7199,2.187
haifa,apartment,100.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1950000.0,4521,2.782
haifa,apartment,70.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1290000.0,2968,2.761
natanya,apartment,130.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3190000.0,7729,2.907
jerusalem,apartment,136.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4000000.0,9379,2.814
jerusalem,apartment,73.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2450000.0,4695,2.300
rishon lezion,penthouse,339.0,0.0,7.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4999000.0,11659,2.799
rishon lezion,apartment,56.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1549000.0,4468,3.461
jerusalem,duplex,215.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4300000.0,12174,3.397
haifa,apartment,60.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140000.0,2709,2.852
ashkelon,apartment,40.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1300000.0,3270,3.018
